uniformed_stock_code,trade_date,open,high,low,close,vol,pe_ttm,pb,change,pct_chg,amount,date,volume,rsi_6,rsi_12,rsi_24,ma_5,ma_20,ma_60,macd,macd_signal,macd_histogram,boll_middle,boll_upper,boll_lower,kdj_k,kdj_d,kdj_j,volatility,volume_ma_5,volume_ma_20,volume_ratio,wr_14,rsi6_pct100,pettm_pct10y
09988.HK,20220112,124.052,128.552,123.852,128.452,444831.08,,,7.3999999999999915,6.113075372567154,56160813.51216,20220112,444831.08,75.03733037844776,63.544306517147675,52.32105899375216,122.65199999999895,113.6320000000007,133.0303333333332,-0.39202459637263587,-3.429472099186505,6.074895005627738,113.6320000000007,126.01628035858432,101.24771964141708,87.47563422208603,76.68174539491508,109.06341187642795,0.5438350352809311,437935.96200000047,338676.74900000094,1.01574458048275,-0.4184100418409806,97.0,
09988.HK,20220113,130.452,130.452,125.852,127.652,360320.47,,,-0.7999999999999972,-0.622800734904865,46500077.294439994,20220113,360320.47,72.18046019531128,62.28152804054151,51.80954801739894,124.89199999999838,114.19200000000055,132.3036666666667,0.4083898424913457,-2.661899710850935,6.140579106684561,114.19200000000055,127.97015662561633,100.41384337438477,87.22704208802575,80.19684429261864,101.28743767883998,0.543143878330249,415536.2660000026,339046.2925000012,0.8671215955913646,-10.852713178294564,93.0,
09988.HK,20220114,122.352,124.752,122.052,124.752,282355.56,,,-2.9000000000000057,-2.2718014602199776,34885594.149119996,20220114,282355.56,61.92473155305093,57.74366442469693,49.961942856013536,124.99199999999837,114.62200000000011,131.56033333333326,0.7995021254475461,-1.9696193435912388,5.53824293807757,114.62200000000011,129.13518021661702,100.10881978338323,82.4799553888576,80.95788132469829,85.52410351717623,0.5511746506310592,354449.49200000166,334382.41050000116,0.7966030883745735,-22.093023255813968,83.0,
09988.HK,20220117,124.752,125.552,122.852,123.952,235344.94,,,-0.7999999999999972,-0.6412722842118741,29265613.97888,20220117,235344.94,59.14294957233549,56.5047042793037,49.454276236380686,125.17200000000011,115.19700000000012,130.79533333333336,1.0330003286132694,-1.3690954091503373,4.8041914755272135,115.19700000000012,130.22290762649644,100.17109237350381,78.05140785797457,79.98905683579038,74.17610990234294,0.5370743548084002,327888.5280000031,321465.0175000012,0.71775899399566,-25.1937984496124,79.0,
09988.HK,20220118,124.652,126.352,120.852,121.852,234682.79,,,-2.0999999999999943,-1.6942042080805426,28925123.233080003,20220118,234682.79,51.811413857508704,53.23386742322393,48.115113014040766,125.3320000000007,115.79199999999983,130.00199999999992,1.0366470652403876,-0.8879469142721924,3.8491879590251603,115.79199999999983,130.88231477471544,100.70168522528422,69.17174836482674,76.38328734546917,54.748670403541894,0.5339435802885844,311506.9680000007,316367.59700000065,0.753378942072331,-33.333333333333314,68.0,
09988.HK,20220119,121.652,122.752,118.952,119.652,297301.53,,,-2.200000000000003,-1.8054689295210604,35870024.197560005,20220119,297301.53,44.82579888126106,49.93067652016213,46.73177369852885,123.57200000000012,116.30699999999997,129.24699999999987,0.8521919778087579,-0.5399191358560024,2.7842222273295203,116.30699999999997,131.18456364462943,101.42943635537053,49.93963552190636,67.5687367376149,14.681433090489293,0.5390151949006285,282001.05799999833,312262.51650000067,1.0542567893486476,-51.18483412322274,56.00000000000001,
09988.HK,20220120,120.452,127.952,120.452,126.952,447961.83,,,7.299999999999997,6.101026309631261,55413774.29466,20220120,447961.83,64.0993846076957,59.11415777303126,51.55441538635455,123.4320000000007,117.13700000000026,128.69699999999986,1.2803004765126644,-0.17587521338226902,2.912351379789867,117.13700000000026,132.43919265334245,101.83480734665805,56.48149614503902,63.87298987342293,41.69850868827119,0.5727674200804614,299529.3300000012,312066.4150000013,1.4955524722737445,-16.58767772511849,86.0,
09988.HK,20220121,121.552,122.952,119.452,122.552,618173.87,,,-4.3999999999999915,-3.4658768668473052,75449357.18124,20220121,618173.87,51.17059197308109,52.75215043209836,48.77697440179298,122.99200000000128,117.82700000000041,128.06199999999978,1.25012564812954,0.10932495892009278,2.281601378418894,117.82700000000041,132.79548355712802,102.85851644287278,48.08911337205502,58.61169770630029,27.043944703564478,0.5866740270918553,366692.99200000166,330441.4620000012,1.6858077015008708,-37.44075829383883,66.0,
09988.HK,20220124,117.452,117.452,114.152,114.552,547586.02,,,-8.0,-6.527841242900973,63521073.49204001,20220124,547586.02,35.53338341737954,43.47229696238162,44.25373456412995,121.11199999999954,118.13199999999998,127.33033333333296,0.5740613165116457,0.20227223043840337,0.7435781721464847,118.13199999999998,132.5628835488337,103.70111645116624,32.877404824723804,50.033600079108126,-1.4349856840448467,0.6370288797569903,429141.2080000043,348058.26900000125,1.276004284352004,-75.3554502369668,37.0,
09988.HK,20220125,111.852,114.252,110.552,112.252,412835.12,,,-2.3000000000000114,-2.0078217752636456,46259000.866239995,20220125,412835.12,32.144444032963946,41.19920901890774,43.055921886053234,119.19199999999837,118.29699999999939,126.6186666666661,-0.14563650816347717,0.13269048271802725,-0.5566539817630088,118.29699999999939,132.37541965562835,104.21858034437042,24.765841072428913,41.611013743548384,-8.92450426981003,0.6422066392738273,464771.6740000069,357207.149500002,0.8882536159034379,-91.45728643216086,28.999999999999996,
